"Estadillo","lat","lng","ClaIFN3","SubclaseIFN3","ClaIFN4","SubclaseIFN4","SpeciesID","SpeciesName","DC","N_NFI2","V_NFI2","BA_NFI2","N_NFI3","V_NFI3","BA_NFI3","N_NFI4","V_NFI4","BA_NFI4"
22,42.857966,-4.898488,"A","4","A","1","71","Fagus sylvatica",50,5.09,4.7436726,0.9044083,0,0,0,10.1859249615641,11.8105476273933,1.848965
23,42.848966,-4.898212,"0","0","0","0","43","Q. pyrenaica",70,5.09,24.5058694,4.1534779,0,0,0,0,0,0
23,42.848966,-4.898212,"0","0","0","0","71","Fagus sylvatica",10,127.32,8.2690444,0.9506137,0,0,0,0,0,0
23,42.848966,-4.898212,"0","0","0","0","71","Fagus sylvatica",15,222.81,19.3677884,4.0722798,0,0,0,0,0,0
23,42.848966,-4.898212,"0","0","0","0","71","Fagus sylvatica",20,190.98,32.3019746,5.7792968,0,0,0,0,0,0
23,42.848966,-4.898212,"0","0","0","0","71","Fagus sylvatica",25,155.61,40.5093488,7.2255434,0,0,0,0,0,0
23,42.848966,-4.898212,"0","0","0","0","71","Fagus sylvatica",30,42.44,17.0691533,2.9640327,0,0,0,0,0,0
23,42.848966,-4.898212,"0","0","0","0","71","Fagus sylvatica",35,14.14,8.5573859,1.4042142,0,0,0,0,0,0
23,42.848966,-4.898212,"0","0","0","0","71","Fagus sylvatica",40,14.14,9.476109,1.5666571,0,0,0,0,0,0
23,42.848966,-4.898212,"0","0","0","0","71","Fagus sylvatica",45,10.18,8.3120423,1.7039033,0,0,0,0,0,0
23,42.848966,-4.898212,"0","0","0","0","71","Fagus sylvatica",60,5.09,6.0357428,1.3409746,0,0,0,0,0,0
23,42.848966,-4.898212,"0","0","0","0","71","Fagus sylvatica",65,5.09,6.9700959,1.5650137,0,0,0,0,0,0
23,42.848966,-4.898212,"0","0","0","0","71","Fagus sylvatica",70,5.09,4.8348602,4.682934,0,0,0,0,0,0
24,42.84937112,-4.88538975,"A","1","A","1","71","Fagus sylvatica",30,14.14,3.41757,0.9088372,14.1471,4.15651,1.0201,14.1471180021723,3.85591433410166,1.1664
25,42.849569,-4.861516,"A","1","0","0","43","Q. pyrenaica",60,5.09,2.7490628,1.4256473,0,0,0,0,0,0
52,42.904935,-4.777437,"A","1","A","1","71","Fagus sylvatica",15,63.66,5.2336466,1.2045296,63.662,5.33184,1.24256,0,0,0
52,42.904935,-4.777437,"A","1","A","1","71","Fagus sylvatica",20,95.49,14.3793041,2.8141341,31.831,5.45856,1.09202,95.493046514663,14.8287178969383,3.11503125
52,42.904935,-4.777437,"A","1","A","1","71","Fagus sylvatica",25,14.14,3.1402308,0.7224943,42.4414,10.9536,1.85751,56.5884720086892,17.7684329562581,2.802975
52,42.904935,-4.777437,"A","1","A","1","71","Fagus sylvatica",40,28.29,20.0354935,3.5057977,14.1471,9.87333,1.78668,0,0,0
52,42.904935,-4.777437,"A","1","A","1","71","Fagus sylvatica",45,25.46,21.5220574,3.9648139,20.3718,18.5971,3.166,10.1859249615641,9.89778446601187,1.647873
53,42.905124,-4.765193,"A","1","0","0","43","Q. pyrenaica",10,254.64,7.5804125,1.7210385,1018.59,10.9125,5.64675,0,0,0
53,42.905124,-4.765193,"A","1","0","0","43","Q. pyrenaica",15,31.83,2.0554295,0.5005552,31.831,1.73651,0.469225,0,0,0
53,42.905124,-4.765193,"A","1","0","0","43","Q. pyrenaica",20,31.83,3.0237635,0.8326543,0,0,0,0,0,0
53,42.905124,-4.765193,"A","1","0","0","43","Q. pyrenaica",40,14.14,8.7182542,1.8360103,0,0,0,0,0,0
53,42.905124,-4.765193,"A","1","0","0","43","Q. pyrenaica",45,5.09,4.4679096,0.8987112,10.1859,7.91733,1.55762,0,0,0
53,42.905124,-4.765193,"A","1","0","0","43","Q. pyrenaica",50,10.18,10.2093371,1.8644561,15.2789,15.9692,3.11528,0,0,0
58,42.896684,-4.72821,"A","1","0","0","21","P. sylvestris",10,891.26,15.8791489,6.5611457,381.972,13.168,3.07985,0,0,0
58,42.896684,-4.72821,"A","1","0","0","21","P. sylvestris",15,604.78,38.4530925,9.8273947,923.099,80.1936,16.2138,0,0,0
58,42.896684,-4.72821,"A","1","0","0","21","P. sylvestris",20,95.49,10.0954849,2.5049946,413.803,63.2646,12.641,0,0,0
60,42.89766952,-4.64260042,"A","1","A","1","71","Fagus sylvatica",15,63.66,6.1293264,1.2811213,31.831,2.91423,0.442225,95.493046514663,6.72922511400224,1.6806125
60,42.89766952,-4.64260042,"A","1","A","1","71","Fagus sylvatica",20,127.32,18.4758328,4.0444818,127.324,16.7384,3.71552,63.6620310097753,8.73679156148361,1.9078625
60,42.89766952,-4.64260042,"A","1","A","1","71","Fagus sylvatica",25,42.44,9.5994496,2.0370958,84.8827,18.294,4.13642,56.5884720086892,10.9578594690549,2.51195833333333
60,42.89766952,-4.64260042,"A","1","A","1","71","Fagus sylvatica",30,70.73,23.2962369,5.0825007,42.4414,16.6156,3.27516,28.2942360043446,6.27235130357853,1.79902777777778
60,42.89766952,-4.64260042,"A","1","A","1","71","Fagus sylvatica",35,42.44,13.1010302,3.8468932,14.1471,6.80302,1.365,14.1471180021723,7.62916365536861,1.221025
62,42.887497,-4.740199,"A","4","A","1","21","P. sylvestris",10,509.29,8.3292432,3.8076751,0,0,0,0,0,0
62,42.887497,-4.740199,"A","4","A","1","21","P. sylvestris",15,572.95,32.9893619,9.509578,127.324,10.8607,2.30846,63.6620310097753,9.58712896682441,1.30435625
62,42.887497,-4.740199,"A","4","A","1","21","P. sylvestris",20,63.66,5.861825,1.6065551,381.972,62.1672,12.5918,63.6620310097753,14.0766893329341,1.91755625
67,42.890308,-4.544335,"A","1","0","0","43","Q. pyrenaica",10,254.64,7.3029354,1.5330446,254.648,5.53148,2.29105,0,0,0
67,42.890308,-4.544335,"A","1","0","0","43","Q. pyrenaica",15,159.15,9.8511438,2.6777064,286.479,25.4066,5.09514,0,0,0
67,42.890308,-4.544335,"A","1","0","0","43","Q. pyrenaica",20,95.49,9.5138307,2.7904105,95.493,13.1924,2.90999,0,0,0
67,42.890308,-4.544335,"A","1","0","0","43","Q. pyrenaica",25,14.14,1.8020533,0.6136063,70.7356,15.4051,3.19239,0,0,0
70,42.878121,-4.764423,"0","0","0","0","21","P. sylvestris",10,381.97,7.6501352,3.193044,0,0,0,0,0,0
70,42.878121,-4.764423,"0","0","0","0","21","P. sylvestris",15,827.6,49.2817059,14.084202,0,0,0,0,0,0
70,42.878121,-4.764423,"0","0","0","0","21","P. sylvestris",20,286.47,34.5144742,8.8735819,0,0,0,0,0,0
70,42.878121,-4.764423,"0","0","0","0","21","P. sylvestris",25,14.14,3.4284547,0.8160046,0,0,0,0,0,0
71,42.878309,-4.752185,"A","1","0","0","21","P. sylvestris",15,222.81,23.8806379,4.2113176,0,0,0,0,0,0
71,42.878309,-4.752185,"A","1","0","0","21","P. sylvestris",20,668.45,117.4597131,20.8458226,190.986,41.9414,6.53331,0,0,0
71,42.878309,-4.752185,"A","1","0","0","21","P. sylvestris",25,226.35,58.3631174,10.1480095,268.795,83.0872,13.4282,0,0,0
71,42.878309,-4.752185,"A","1","0","0","21","P. sylvestris",30,14.14,4.9391279,0.8433295,155.618,66.1212,10.5783,0,0,0
73,42.878866,-4.715468,"0","0","0","0","21","P. sylvestris",10,381.97,5.1586337,2.5435006,0,0,0,0,0,0
79,42.86912,-4.764167,"A","4","A","1","21","P. sylvestris",10,509.29,12.5740853,4.6802647,0,0,0,0,0,0
79,42.86912,-4.764167,"A","4","A","1","21","P. sylvestris",15,509.29,27.7393636,8.5930808,127.324,11.567,2.31778,31.8310155048877,3.39180800687808,0.48650625
79,42.86912,-4.764167,"A","4","A","1","21","P. sylvestris",20,127.32,14.8340704,3.7085916,541.127,90.8947,17.3421,95.493046514663,19.9536367226417,2.65418125
81,42.869864,-4.715219,"0","0","0","0","21","P. sylvestris",10,3055.77,52.2222823,23.3077149,0,0,0,0,0,0
81,42.869864,-4.715219,"0","0","0","0","21","P. sylvestris",15,318.31,12.0647002,4.5587244,0,0,0,0,0,0
82,42.870047,-4.702981,"A","4","A","1","21","P. sylvestris",10,763.94,14.2054113,6.4609163,254.648,7.72477,2.9045,0,0,0
82,42.870047,-4.702981,"A","4","A","1","21","P. sylvestris",15,572.95,22.7115394,8.6115969,509.296,42.114,9.71025,190.986093029326,23.1871539190892,3.77220625
89,42.871971,-4.568364,"A","4","A","1","43","Q. pyrenaica",10,1527.88,32.0460629,11.9845497,636.62,16.3198,5.31292,254.648124039101,6.81262787742695,1.997725
89,42.871971,-4.568364,"A","4","A","1","43","Q. pyrenaica",15,127.32,7.7850286,2.0058304,541.127,30.9054,7.93447,923.099449641742,71.7148248169273,15.70443125
92,42.858965,-4.837318,"A","1","0","0","21","P. sylvestris",10,381.97,10.3804838,3.1313045,127.324,3.11824,1.1664,0,0,0
92,42.858965,-4.837318,"A","1","0","0","21","P. sylvestris",15,572.95,43.7423893,10.3495695,254.648,23.922,4.74572,0,0,0
92,42.858965,-4.837318,"A","1","0","0","21","P. sylvestris",20,477.46,68.4630538,15.0256707,445.634,72.9282,13.2888,0,0,0
92,42.858965,-4.837318,"A","1","0","0","21","P. sylvestris",25,28.29,6.0760275,1.2519911,339.531,87.7746,15.6983,0,0,0
93,42.860494,-4.73944,"A","1","0","0","21","P. sylvestris",10,254.64,3.0462521,1.5345215,381.972,8.80901,4.00513,0,0,0
93,42.860494,-4.73944,"A","1","0","0","21","P. sylvestris",15,31.83,1.1941877,0.4658053,254.648,10.2394,3.77035,0,0,0
93,42.860494,-4.73944,"A","1","0","0","21","P. sylvestris",20,31.83,2.1790293,0.7788058,159.155,16.7869,4.70732,0,0,0
96,42.861046,-4.702734,"A","4","0","0","21","P. sylvestris",10,127.32,1.6425432,0.8372189,1273.24,20.4103,9.70448,0,0,0
100,42.86246,-4.604846,"A","4","A","4","42","Q. petraea",70,10.18,10.4548864,4.5811091,0,0,0,0,0,0
100,42.86246,-4.604846,"A","4","A","4","71","Fagus sylvatica",10,636.62,26.6001353,5.4132689,127.324,4.45811,0.9801,636.620310097753,22.7087572552711,4.573375
100,42.86246,-4.604846,"A","4","A","4","71","Fagus sylvatica",15,541.12,41.7709363,9.1736687,159.155,12.3329,3.05476,413.80320156354,33.432926480116,6.728475
100,42.86246,-4.604846,"A","4","A","4","71","Fagus sylvatica",20,318.31,45.3803871,9.4523905,286.479,42.8711,9.06281,318.310155048877,56.6862472768509,9.42350625
100,42.86246,-4.604846,"A","4","A","4","71","Fagus sylvatica",25,198.05,44.3867359,9.1842352,183.913,43.975,8.48472,226.353888034757,63.9774667157136,10.9443527777778
102,42.86262983,-4.56755122,"A","1","A","1","71","Fagus sylvatica",10,127.32,3.5042493,0.7568902,127.324,4.39821,0.8464,127.324062019551,5.34119973389937,0.8836
102,42.86262983,-4.56755122,"A","1","A","1","71","Fagus sylvatica",15,95.49,11.2715799,1.8627151,63.662,8.5109,1.43683,31.8310155048877,5.29896017140507,0.68475625
102,42.86262983,-4.56755122,"A","1","A","1","71","Fagus sylvatica",20,190.98,29.8954269,6.240442,127.324,23.6612,4.37361,127.324062019551,20.0456616314764,3.7799125
102,42.86262983,-4.56755122,"A","1","A","1","71","Fagus sylvatica",25,113.17,29.0817997,5.466562,127.324,36.1481,6.23391,127.324062019551,38.8530928962545,6.4729
102,42.86262983,-4.56755122,"A","1","A","1","71","Fagus sylvatica",30,70.73,28.0910131,5.5986172,42.4414,15.7935,2.68069,56.5884720086892,25.7624699273885,3.95987222222222
102,42.86262983,-4.56755122,"A","1","A","1","71","Fagus sylvatica",35,28.29,15.5014436,3.0341198,70.7356,36.8307,6.41094,70.7355900108615,42.0592820721286,6.67350277777778
102,42.86262983,-4.56755122,"A","1","A","1","71","Fagus sylvatica",40,28.29,17.0120631,3.3530427,42.4414,32.3885,5.39932,42.4413540065169,38.9815201485262,5.72034166666667
102,42.86262983,-4.56755122,"A","1","A","1","71","Fagus sylvatica",45,10.18,8.2712464,1.5611572,5.09296,5.30644,0.881721,10.1859249615641,11.4941343795425,1.59493
102,42.86262983,-4.56755122,"A","1","A","1","71","Fagus sylvatica",55,5.09,5.8150335,1.2012258,5.09296,7.46783,1.27238,0,0,0
103,42.863136,-4.555899,"A","3E","A","1","50","Mezcla de árboles de ribera",35,14.14,5.5570434,1.3224898,0,0,0,0,0,0
103,42.863136,-4.555899,"A","3E","A","1","71","Fagus sylvatica",10,509.29,14.7583667,3.0185464,636.62,20.6003,5.1196,509.296248078203,25.1022340560209,5.14365
103,42.863136,-4.555899,"A","3E","A","1","71","Fagus sylvatica",15,190.98,15.3325216,3.2863406,95.493,6.10185,1.47738,63.6620310097753,7.36061601623854,1.3466
103,42.863136,-4.555899,"A","3E","A","1","71","Fagus sylvatica",20,31.83,4.2476591,1.030223,31.831,3.01884,0.832656,31.8310155048877,4.73577384899592,0.91680625
103,42.863136,-4.555899,"A","3E","A","1","71","Fagus sylvatica",25,56.58,12.5145988,2.7328354,0,0,0,0,0,0
104,42.863302,-4.543662,"A","4","A","1","71","Fagus sylvatica",10,1273.24,38.5609646,8.7895067,1400.56,49.6746,12.5665,1018.59249615641,43.0933075244074,9.2855
104,42.863302,-4.543662,"A","4","A","1","71","Fagus sylvatica",15,222.81,18.4054672,3.7774166,541.127,38.4723,8.75904,732.113356612416,64.9749150171947,12.65495
104,42.863302,-4.543662,"A","4","A","1","71","Fagus sylvatica",20,31.83,2.9359482,0.7656246,31.831,3.36291,0.765625,63.6620310097753,8.95619884566246,1.74760625
104,42.863302,-4.543662,"A","4","A","1","99","Otras frondosas",10,254.64,4.4305186,1.5345215,0,0,0,0,0,0
104,42.863302,-4.543662,"A","4","A","1","99","Otras frondosas",15,31.83,1.3912884,0.4095981,0,0,0,0,0,0
106,42.849964,-4.837051,"A","1","0","0","21","P. sylvestris",15,31.83,1.402808,0.5402229,0,0,0,0,0,0
106,42.849964,-4.837051,"A","1","0","0","21","P. sylvestris",25,28.29,8.1924187,1.5410129,28.2942,8.08664,1.56947,0,0,0
107,42.851306,-4.751421,"A","1","0","0","21","P. sylvestris",10,763.94,18.5519853,8.1078395,127.324,3.42803,1.38062,0,0,0
107,42.851306,-4.751421,"A","1","0","0","21","P. sylvestris",15,318.31,13.331835,5.1280282,477.465,37.6979,8.66257,0,0,0
108,42.852406,-4.678019,"A","1","A","1","25","P. nigra",10,763.94,10.2904148,5.1719518,254.648,5.03168,2.4004,0,0,0
112,42.834223,-4.689762,"A","1","0","0","43","Q. pyrenaica",15,95.49,4.2978884,1.2645533,254.648,16.4311,4.20575,0,0,0
112,42.834223,-4.689762,"A","1","0","0","43","Q. pyrenaica",30,14.14,3.0744783,1.1130166,0,0,0,0,0,0
128,42.94497,-4.496672,"A","4","A","1","42","Q. petraea",15,95.49,8.0227839,1.9705044,63.662,6.30144,1.1194,0,0,0
128,42.94497,-4.496672,"A","4","A","1","42","Q. petraea",20,286.47,51.8219216,8.5370996,127.324,29.0181,4.39379,0,0,0
128,42.94497,-4.496672,"A","4","A","1","42","Q. petraea",25,212.2,59.1476605,10.1226,212.207,73.3021,10.0313,84.8827080130337,32.7134719209326,4.34890555555556
128,42.94497,-4.496672,"A","4","A","1","42","Q. petraea",30,70.73,28.1631487,5.0089419,99.0298,52.6181,7.44046,28.2942360043446,14.2809251095786,1.77748055555556
128,42.94497,-4.496672,"A","4","A","1","42","Q. petraea",45,5.09,4.0045449,0.7465018,10.1859,12.7494,1.62202,0,0,0
129,42.94513,-4.484419,"A","1","0","0","43","Q. pyrenaica",10,891.26,21.3076332,5.1021655,1018.59,29.613,7.17823,0,0,0
129,42.94513,-4.484419,"A","1","0","0","43","Q. pyrenaica",15,445.63,29.0923435,7.7162513,381.972,26.4959,7.07212,0,0,0
129,42.94513,-4.484419,"A","1","0","0","43","Q. pyrenaica",20,159.15,18.9745609,4.656993,222.817,25.5106,6.35929,0,0,0
129,42.94513,-4.484419,"A","1","0","0","43","Q. pyrenaica",25,84.88,14.8740511,3.7110622,113.177,24.9836,5.38734,0,0,0
129,42.94513,-4.484419,"A","1","0","0","43","Q. pyrenaica",30,14.14,4.9831392,1.0920154,14.1471,2.78887,0.840278,0,0,0
129,42.94513,-4.484419,"A","1","0","0","43","Q. pyrenaica",50,5.09,4.2298892,1.0120442,5.09296,4.94576,1.06916,0,0,0
144,42.918438,-4.459274,"A","1","0","0","42","Q. petraea",10,381.97,8.855486,2.8703285,254.648,2.1861,1.2832,0,0,0
144,42.918438,-4.459274,"A","1","0","0","42","Q. petraea",15,127.32,11.1716974,2.5501341,127.324,12.48,2.28678,0,0,0
144,42.918438,-4.459274,"A","1","0","0","42","Q. petraea",20,127.32,13.8334852,3.9546484,127.324,21.811,4.01287,0,0,0
144,42.918438,-4.459274,"A","1","0","0","42","Q. petraea",25,56.58,11.7771454,2.5779922,70.7356,17.2013,3.18529,0,0,0
144,42.918438,-4.459274,"A","1","0","0","42","Q. petraea",30,70.73,23.5055008,5.4465398,42.4414,15.282,2.79795,0,0,0
144,42.918438,-4.459274,"A","1","0","0","42","Q. petraea",35,28.29,11.3378726,2.4716068,84.8827,41.3426,7.77795,0,0,0
144,42.918438,-4.459274,"A","1","0","0","42","Q. petraea",45,5.09,3.2397107,0.7551671,5.09296,5.03269,0.840889,0,0,0
144,42.918438,-4.459274,"A","1","0","0","42","Q. petraea",50,5.09,3.5557772,0.9781289,5.09296,4.75929,0.984064,0,0,0
144,42.918438,-4.459274,"A","1","0","0","42","Q. petraea",55,5.09,5.0582927,1.3202115,0,0,0,0,0,0
144,42.918438,-4.459274,"A","1","0","0","42","Q. petraea",70,30.55,82.353568,24.0655042,30.5578,95.6038,24.5938,0,0,0
145,42.918594,-4.447025,"A","1","0","0","43","Q. pyrenaica",10,636.62,17.6692225,4.6296534,254.648,10.6647,2.1125,0,0,0
145,42.918594,-4.447025,"A","1","0","0","43","Q. pyrenaica",15,254.64,21.9599204,5.016521,127.324,11.6726,2.45428,0,0,0
145,42.918594,-4.447025,"A","1","0","0","43","Q. pyrenaica",20,63.66,7.0136966,1.8574534,190.986,26.6483,5.34215,0,0,0
145,42.918594,-4.447025,"A","1","0","0","43","Q. pyrenaica",25,127.32,27.3679274,6.0653239,99.0298,27.6768,5.19584,0,0,0
145,42.918594,-4.447025,"A","1","0","0","43","Q. pyrenaica",30,84.88,26.9124832,5.8977371,84.8827,30.7014,5.75,0,0,0
145,42.918594,-4.447025,"A","1","0","0","43","Q. pyrenaica",35,28.29,11.6348379,2.5176736,56.5885,30.5177,5.38179,0,0,0
145,42.918594,-4.447025,"A","1","0","0","43","Q. pyrenaica",40,14.14,7.5415605,1.5750123,14.1471,10.9183,1.83602,0,0,0
145,42.918594,-4.447025,"A","1","0","0","43","Q. pyrenaica",70,10.18,9.2654616,5.1080493,10.1859,9.81108,5.43965,0,0,0
146,42.918901,-4.422528,"A","4","A","1","43","Q. pyrenaica",10,127.32,4.3294234,1.1990228,254.648,7.79617,1.77722,0,0,0
146,42.918901,-4.422528,"A","4","A","1","43","Q. pyrenaica",15,31.83,2.2668223,0.5738047,0,0,0,31.8310155048877,1.72470589406657,0.62805625
146,42.918901,-4.422528,"A","4","A","1","43","Q. pyrenaica",35,14.14,3.5050989,1.4520141,0,0,0,0,0,0
147,42.919053,-4.410279,"A","4","A","1","42","Q. petraea",10,381.97,7.7411973,3.423424,0,0,0,0,0,0
147,42.919053,-4.410279,"A","4","A","1","42","Q. petraea",15,127.32,4.706277,1.913129,31.831,3.12983,0.648025,31.8310155048877,2.39966829572349,0.511225
147,42.919053,-4.410279,"A","4","A","1","42","Q. petraea",20,127.32,10.399681,3.902366,127.324,24.6311,4.04431,0,0,0
147,42.919053,-4.410279,"A","4","A","1","42","Q. petraea",25,84.88,12.1222643,3.9823267,113.177,34.0731,5.82524,84.8827080130337,27.880412565293,4.1131
147,42.919053,-4.410279,"A","4","A","1","42","Q. petraea",30,70.73,18.7034233,4.9021533,14.1471,6.12563,1.08854,84.8827080130337,38.5120974703969,5.82663888888889
147,42.919053,-4.410279,"A","4","A","1","42","Q. petraea",35,42.44,11.6174994,4.1023258,56.5885,31.4192,5.57691,28.2942360043446,16.5163877080224,2.74996111111111
147,42.919053,-4.410279,"A","4","A","1","42","Q. petraea",40,14.14,4.8887462,1.6554975,28.2942,17.9811,3.50135,42.4413540065169,35.366773795359,5.36500277777778
147,42.919053,-4.410279,"A","4","A","1","42","Q. petraea",45,5.09,1.9768525,0.7327416,10.1859,5.17267,1.67324,20.3718499231281,18.400649412239,3.03475
147,42.919053,-4.410279,"A","4","A","1","42","Q. petraea",50,10.18,5.4552044,1.9685356,0,0,0,5.09296248078203,5.64199746292657,0.958441
147,42.919053,-4.410279,"A","4","A","1","42","Q. petraea",70,5.09,14.6946459,4.7089383,5.09296,14.2932,3.77136,5.09296248078203,16.1144621682784,3.912484
152,42.908962,-4.4958,"A","1","0","0","43","Q. pyrenaica",15,254.64,19.4962455,4.5746208,254.648,23.8756,4.74549,0,0,0
152,42.908962,-4.4958,"A","1","0","0","43","Q. pyrenaica",20,127.32,14.7452746,3.6902665,159.155,23.6836,5.20406,0,0,0
152,42.908962,-4.4958,"A","1","0","0","43","Q. pyrenaica",25,28.29,7.8194925,1.6290001,14.1471,2.76365,0.6084,0,0,0
152,42.908962,-4.4958,"A","1","0","0","43","Q. pyrenaica",30,14.14,3.9971061,0.8648924,42.4414,15.724,3.28251,0,0,0
157,42.911631,-4.275352,"A","4","A","4","43","Q. pyrenaica",10,1527.88,40.9381801,9.6879558,509.296,11.2268,4.13375,509.296248078203,12.3414910908952,3.83365
157,42.911631,-4.275352,"A","4","A","4","43","Q. pyrenaica",15,127.32,7.7883963,2.0184578,286.479,20.7331,5.50244,477.465232573315,38.0920481293776,8.9453125
159,42.899799,-4.507827,"A","1","0","0","43","Q. pyrenaica",10,1018.59,11.586433,5.674385,1273.24,27.3611,9.97582,0,0,0
159,42.899799,-4.507827,"A","1","0","0","43","Q. pyrenaica",15,63.66,4.8850462,1.1726126,190.986,12.0517,2.66229,0,0,0
159,42.899799,-4.507827,"A","1","0","0","43","Q. pyrenaica",20,31.83,3.0237508,0.8100002,95.493,11.8224,2.67252,0,0,0
159,42.899799,-4.507827,"A","1","0","0","43","Q. pyrenaica",25,28.29,5.6864998,1.3943353,14.1471,3.08467,0.683378,0,0,0
159,42.899799,-4.507827,"A","1","0","0","43","Q. pyrenaica",30,28.29,9.9682959,2.0052198,28.2942,11.0224,2.10774,0,0,0
169,42.882273,-4.470666,"0","0","0","0","43","Q. pyrenaica",15,31.83,1.9792356,0.5076535,0,0,0,0,0,0
177,42.875619,-4.27461,"A","4","0","0","43","Q. pyrenaica",10,127.32,3.8286708,0.7656246,381.972,3.59117,2.02555,0,0,0
177,42.875619,-4.27461,"A","4","0","0","43","Q. pyrenaica",15,31.83,2.0190053,0.5040979,0,0,0,0,0,0
179,42.876022,-4.237887,"A","1","0","0","42","Q. petraea",15,31.83,2.1506742,0.4726553,0,0,0,0,0,0
179,42.876022,-4.237887,"A","1","0","0","43","Q. pyrenaica",10,1527.88,47.1263557,11.0371827,763.944,18.0948,5.82705,0,0,0
179,42.876022,-4.237887,"A","1","0","0","43","Q. pyrenaica",15,254.64,15.8439757,3.6930899,636.62,48.0267,10.5235,0,0,0
179,42.876022,-4.237887,"A","1","0","0","43","Q. pyrenaica",20,95.49,11.9939271,2.7612724,127.324,20.4788,4.35137,0,0,0
179,42.876022,-4.237887,"A","1","0","0","43","Q. pyrenaica",25,14.14,2.5660507,0.5624946,14.1471,3.59597,0.719669,0,0,0
179,42.876022,-4.237887,"A","1","0","0","43","Q. pyrenaica",50,5.09,2.4045591,1.0609085,0,0,0,0,0,0
183,42.854627,-4.518967,"A","4","0","0","43","Q. pyrenaica",10,2037.18,65.3576119,15.4034792,127.324,6.55185,1.4161,0,0,0
183,42.854627,-4.518967,"A","4","0","0","43","Q. pyrenaica",15,318.31,19.0017382,4.6451073,763.944,63.2299,13.5522,0,0,0
189,42.847769,-4.347466,"A","1","0","0","25","P. nigra",10,636.62,9.0463829,4.3348347,254.648,5.32094,2.24443,0,0,0
189,42.847769,-4.347466,"A","1","0","0","25","P. nigra",15,95.49,3.3721443,1.3852851,445.634,30.8172,8.44979,0,0,0
189,42.847769,-4.347466,"A","1","0","0","25","P. nigra",20,95.49,7.31562,2.457229,222.817,27.1283,6.92504,0,0,0
192,42.839607,-4.273869,"A","1","0","0","25","P. nigra",10,127.32,1.867894,0.8010207,127.324,2.81605,1.0201,0,0,0
192,42.839607,-4.273869,"A","1","0","0","25","P. nigra",15,254.64,19.4330419,4.9626438,63.662,6.10144,1.27456,0,0,0
192,42.839607,-4.273869,"A","1","0","0","25","P. nigra",20,350.14,40.6868712,9.9269525,254.648,46.3245,8.78571,0,0,0
192,42.839607,-4.273869,"A","1","0","0","25","P. nigra",25,84.88,15.9441457,3.8128173,325.384,88.8058,15.5432,0,0,0
192,42.839607,-4.273869,"A","1","0","0","25","P. nigra",30,14.14,3.810742,0.8898703,99.0298,37.3983,6.63817,0,0,0
196,42.813167,-4.884886,"A","3E","A","1","43","Q. pyrenaica",15,445.63,27.8893831,7.5059439,0,0,0,0,0,0
196,42.813167,-4.884886,"A","3E","A","1","43","Q. pyrenaica",20,190.98,19.7603601,5.6206606,0,0,0,0,0,0
196,42.813167,-4.884886,"A","3E","A","1","43","Q. pyrenaica",25,14.14,3.7436215,0.8069958,0,0,0,0,0,0
201,42.759364,-4.871033,"A","4","0","0","21","P. sylvestris",15,381.97,31.5640843,7.4649297,0,0,0,0,0,0
201,42.759364,-4.871033,"A","4","0","0","21","P. sylvestris",20,381.97,46.348562,10.5190345,63.662,12.6925,2.03531,0,0,0
