"ID","IDmuni","NAMEUNIT","CoorX","CoorY","Estadillo"
"37",34056,"Cervera de Pisuerga",378901,4756814,"34-125"
"38",34056,"Cervera de Pisuerga",385851,4755778,"34-131"
"39",34056,"Cervera de Pisuerga",377862,4754828,"34-133"
"40",34056,"Cervera de Pisuerga",376861,4751808,"34-151"
"41",34056,"Cervera de Pisuerga",380891,4751806,"34-154"
"42",34056,"Cervera de Pisuerga",377887,4750782,"34-160"
"43",34056,"Cervera de Pisuerga",375895,4747785,"34-172"
"44",34056,"Cervera de Pisuerga",376880,4747795,"34-173"
"45",34056,"Cervera de Pisuerga",379899,4747817,"34-174"
"46",34056,"Cervera de Pisuerga",381914,4747807,"34-175"
"47",34056,"Cervera de Pisuerga",377874,4745777,"34-184"
"48",34056,"Cervera de Pisuerga",381869,4743777,"34-190"
"49",34061,"Collazos de Boedo",376882,4725806,"34-368"
"50",34061,"Collazos de Boedo",375897,4717807,"34-528"
"51",34062,"Congosto de Valdavia",356902,4728782,"34-280"
"52",34062,"Congosto de Valdavia",357857,4728757,"34-281"
"53",34062,"Congosto de Valdavia",367892,4727794,"34-290"
"54",34062,"Congosto de Valdavia",356886,4726774,"34-293"
"55",34062,"Congosto de Valdavia",358886,4726778,"34-295"
"56",34067,"Dehesa de Montejo",373885,4739823,"34-227"
"57",34067,"Dehesa de Montejo",379922,4741791,"34-314"
"58",34068,"Dehesa de Romanos",381904,4719769,"34-527"
"59",34071,"Espinosa de Villagonzalo",383887,4701819,"34-623"
"60",34071,"Espinosa de Villagonzalo",383918,4700770,"34-627"
"61",34073,"Fresno del Río",346963,4729817,"34-211"
"62",34073,"Fresno del Río",345887,4728809,"34-213"
"63",34073,"Fresno del Río",347873,4728789,"34-215"
"64",34073,"Fresno del Río",346936,4727784,"34-217"
"65",34073,"Fresno del Río",344871,4726777,"34-219"
"66",34073,"Fresno del Río",345937,4724840,"34-382"
"67",34091,"Lagartos",345836,4697773,"34-576"
"68",34091,"Lagartos",346837,4696847,"34-578"
"69",34094,"Ledigos",347828,4694857,"34-599"
"70",34094,"Ledigos",347874,4692812,"34-602"
"71",34100,"Mantinos",345856,4735793,"34-200"
"72",34100,"Mantinos",346995,4734838,"34-203"
"73",34114,"Olmos de Ojeda",377904,4734780,"34-331"
"74",34122,"Páramo de Boedo",381923,4714793,"34-536"
"75",34122,"Páramo de Boedo",382949,4714815,"34-537"
"76",34129,"Pino del Río",345955,4723788,"34-384"
"77",34129,"Pino del Río",355869,4722843,"34-436"
"78",34129,"Pino del Río",353868,4718832,"34-465"
"79",34129,"Pino del Río",354883,4717798,"34-472"
"80",34129,"Pino del Río",354882,4716797,"34-475"
"81",34135,"Pomar de Valdivia",409896,4741812,"34-371"
"82",34139,"Prádanos de Ojeda",389904,4726785,"34-363"
"83",34140,"La Puebla de Valdavia",370905,4729765,"34-277"
"84",34140,"La Puebla de Valdavia",365914,4725803,"34-309"
"85",34140,"La Puebla de Valdavia",369891,4725818,"34-310"
"86",34151,"Respenda de la Peña",361861,4737796,"34-229"
"87",34151,"Respenda de la Peña",359901,4735801,"34-236"
"88",34151,"Respenda de la Peña",359878,4733793,"34-252"
"89",34151,"Respenda de la Peña",353892,4732804,"34-259"
"90",34151,"Respenda de la Peña",354892,4730794,"34-267"
"91",34157,"Saldaña",361938,4713829,"34-490"
"92",34157,"Saldaña",357928,4712810,"34-495"
"93",34157,"Saldaña",365895,4711778,"34-499"
"94",34169,"Santervás de la Vega",347913,4706774,"34-581"
"95",34171,"Santibáñez de la Peña",363930,4745778,"34-109"
"96",34171,"Santibáñez de la Peña",363902,4743810,"34-113"
"97",34171,"Santibáñez de la Peña",357904,4735777,"34-234"
"98",34171,"Santibáñez de la Peña",352865,4734813,"34-241"
"99",34171,"Santibáñez de la Peña",353876,4734814,"34-242"
"100",34171,"Santibáñez de la Peña",352892,4733753,"34-250"
"101",34179,"Tabanera de Valdavia",357880,4725784,"34-303"
"102",34179,"Tabanera de Valdavia",356864,4724825,"34-418"
"103",34190,"Valderrábano",362936,4719770,"34-458"
"104",34199,"Velilla del Río Carrión",357918,4751766,"34-54"
"105",34199,"Velilla del Río Carrión",349879,4748713,"34-69"
"106",34199,"Velilla del Río Carrión",357892,4748794,"34-72"
"107",34199,"Velilla del Río Carrión",358890,4746728,"34-94"
"108",34199,"Velilla del Río Carrión",348850,4744750,"34-111"
"109",34199,"Velilla del Río Carrión",345924,4743793,"34-193"
"110",34199,"Velilla del Río Carrión",346920,4743814,"34-194"
"111",34208,"Villaeles de Valdavia",371893,4714777,"34-486"
"112",34214,"Villalba de Guardo",345868,4733795,"34-205"
"113",34222,"Villameriel",376914,4715806,"34-532"
"114",34222,"Villameriel",380917,4713787,"34-542"
"115",34228,"Villanuño de Valdavia",376886,4710778,"34-553"
"116",34228,"Villanuño de Valdavia",376889,4709803,"34-555"
"117",34228,"Villanuño de Valdavia",375873,4708781,"34-557"
"118",34234,"Villasila de Valdavia",375915,4716812,"34-530"
"119",34234,"Villasila de Valdavia",375886,4714758,"34-534"
"120",34234,"Villasila de Valdavia",375907,4713789,"34-539"
"121",34245,"Villota del Páramo",345918,4722804,"34-386"
"122",34245,"Villota del Páramo",347903,4719775,"34-398"
"123",34245,"Villota del Páramo",344928,4717802,"34-402"
"124",34245,"Villota del Páramo",344906,4716775,"34-404"
"125",34245,"Villota del Páramo",344905,4714759,"34-407"
"126",34245,"Villota del Páramo",345899,4710808,"34-411"
"127",34245,"Villota del Páramo",346899,4710829,"34-412"
"128",34245,"Villota del Páramo",347892,4709783,"34-504"
"129",34903,"Loma de Ucieza",368879,4708799,"34-508"
"130",34903,"Loma de Ucieza",368910,4707768,"34-514"
